LAcode,LAname,Ocrowd,Noheat,Lonep,Nocarvan,Noquals,Unemp,LLTI,Sochous,Ethnic,Sroutine,Routine
E06000005,Darlington,4.551103493,1.744161131,12.00128562,27.96657382,17.02680893,8.413305295,19.63074533,15.48746518,6.314652723,16.52117179,13.35943107
E06000047,County Durham,3.6268504, ,11.19868813,27.22304884,18.1056312,7.899149945,23.6313474,20.10875636,3.424895079,16.91367289,15.82351041
E06000001,Hartlepool,4.313201761,1.434436365,13.34273136,35.28713459,22.07914037,13.3781921,23.16142913,23.53217589,3.372886513,17.93455482,16.5139812
E06000002,Middlesbrough,6.990892086,1.821582784,14.91704981,37.5644634,22.5406273,14.38991618,20.86379794,23.86937748,13.94821258,17.27680481,15.33947947
E06000048,Northumberland,3.612109663,1.341187001,9.663331745,22.04729525,14.858844,7.344754026,20.72537876,18.65318261,2.826015416,15.79768806,12.59089974
E06000003,Redcar and Cleveland,3.846992702,1.734753796,12.28755977,28.41204597,19.28408783,11.4973391,22.72354025,19.4077678,2.403515391,17.89729474,15.39167347
E06000004,Stockton-on-Tees,4.522543236,1.177377178,12.32329868,25.92756351,16.33293725,9.623767404,19.00109598,17.21219318,6.599342414,15.92204985,13.46140174
E08000020,Gateshead,6.155640801,1.303362721,11.88505283,36.510981,18.59644245,8.405817695,22.15229704,27.975189,5.923162216,17.28874452,14.93662167
E08000021,Newcastle upon Tyne,9.083847618,1.516819885,11.12050054,41.70016986,16.51040913,10.97602623,18.76563744,29.74742431,18.08035635,13.14548256,11.40822309
E08000022,North Tyneside,4.301440386,1.452434416,11.43436114,31.61728463,15.05936376,7.982151226,20.61991723,21.55320664,4.912824139,15.61644206,12.19766176
E08000023,South Tyneside,5.283844745,0.78907797,14.24360177,38.45638483,18.3665978,11.18807725,23.27799793,31.5690741,4.932254079,17.68106367,15.97801452
E08000024,Sunderland,5.683127641,0.831677216,12.73735366,35.14921759,19.92344381,10.43442408,23.43034271,27.05372501,5.189360667,17.32894839,16.27179497
E06000008,Blackburn with Darwen,6.876710896,3.677226998,12.44747441,30.51627639,22.5704596,9.861315753,20.23269532,18.11762244,33.45673237,16.13051515,14.25629926
E06000009,Blackpool,7.130983268,5.536998773,12.84664502,36.71912626,22.00871898,10.64981135,25.57350509,10.87358429,6.351318059,17.71165461,14.18126824
E06000049,Cheshire East,3.563073488,2.284857722,8.953155086,16.12445983,11.80891151,5.434058705,17.51587968,11.37787646,6.447246486,12.9885995,9.738220282
E06000050,Cheshire West and Chester,4.158595042,2.113233693,9.815330666,18.59207308,12.86762084,6.367789317,18.5053154,14.71133044,5.338159268,14.4796529,10.68043018
E06000006,Halton,4.948229292,2.892406963,14.47328932,26.97328932,18.49328378,9.356894554,21.36449668,25.21195978,3.607271802,17.93157009,15.17236916
E06000007,Warrington,4.487902279,2.243363871,10.71529246,19.27296218,12.58922926,6.518909778,17.30571434,15.64247122,7.051446882,14.22377744,11.94023859
E07000026,Allerdale,2.935411501,3.100720274,9.321053253,20.79348211,17.58757194,5.942852316,20.77015619,19.10024796,2.423720728,18.26763222,15.0736848
E07000027,Barrow-in-Furness,3.679861645,7.814501665,10.9883423,29.92890085,16.36139687,7.923118636,24.63994673,11.06200359,2.915164937,18.22006536,16.42956382
E07000028,Carlisle,4.391626329,3.05117703,9.863059038,24.68247073,16.2932967,5.968778696,19.17990402,15.29518845,4.961682973,18.9259534,14.11902277
E07000029,Copeland,3.536809012,2.842546502,9.385643175,23.39206183,17.60091915,7.031997911,21.33195473,18.56169767,2.725096667,17.42818109,15.28215248
E07000030,Eden,3.532526147,4.131406501,7.164865686,13.93481752,13.08903751,3.458886335,18.01232783,10.0724732,2.958298455,15.35820318,11.89363625
E07000031,South Lakeland,3.937532222,3.948272899,6.635590308,15.34198316,10.78268641,3.344481605,18.83019159,10.42490119,4.407763993,14.40044309,10.1185531
E08000001,Bolton,6.910656435,3.035979754,11.97119557,28.31289582,19.03369645,8.708286039,19.839515,20.4733138,20.59063681,15.78045366,13.33130732
E08000002,Bury,5.325618015,2.408049876,11.65747059,23.91791379,14.67629545,7.167109617,18.81605966,14.98214126,14.67794229,14.18102712,10.95502907
E08000003,Manchester,16.42833794,3.127302177,14.00260527,44.5179515,17.35317521,12.25049869,17.76171821,31.55696715,40.72331638,12.50352543,11.05444309
E08000004,Oldham,7.549357324,1.938619667,13.11215901,31.16283736,22.17337527,9.642589784,19.709467,21.08959567,24.42985011,15.61606109,14.78922167
E08000005,Rochdale,7.786229898,2.303773757,13.0333973,31.36421784,21.50844967,10.31632973,20.95380706,23.12568531,21.35957184,15.32453418,15.00045829
E08000006,Salford,9.511761752,2.400633474,13.47869752,36.86700915,18.99481919,9.648244675,20.69695169,28.79504809,15.59762838,15.20590121,13.22920337
E08000007,Stockport,4.812303757,2.32581018,11.27243214,21.95541856,13.1055119,6.399166673,18.44815109,13.62529616,11.02497573,13.3563879,9.076031367
E08000008,Tameside,6.124082441,2.760312997,12.83266458,29.62728929,19.50777657,8.338999871,20.94207656,21.52433309,11.49395415,17.30036728,14.05558067
E08000009,Trafford,5.593539647,2.435332966,11.03784768,21.68091952,11.22500536,6.168346074,17.03739992,16.38901825,19.58619107,12.31957053,8.193186983
E08000010,Wigan,4.434472746,1.732582523,12.08921737,24.64035898,18.26885767,8.033298256,21.49479784,18.91909727,4.508430104,17.05786592,15.78299753
E07000117,Burnley,5.10252996,4.665778961,12.40479361,32.28229028,21.55931231,9.082259953,22.5215084,14.06391478,14.4672004,18.07466549,15.53742742
E07000118,Chorley,3.766780204,2.682606469,10.00690131,17.0551437,13.55038091,5.307582001,18.42004573,13.00785859,4.911576688,14.02358945,11.81473653
E07000119,Fylde,3.864124982,2.479575749,8.940805504,19.06836749,11.77170036,5.460916135,21.86332616,7.473125985,4.93155748,13.0976826,8.193385157
E07000120,Hyndburn,4.571794648,5.200780408,12.54185958,28.23447191,20.49607082,8.137167911,21.74176927,12.78064122,14.73976268,17.26643361,14.71314004
E07000121,Lancaster,5.281726678,4.480993394,9.743696171,24.61346892,12.47778765,6.738664216,19.45943993,9.9650652,8.492140921,14.20384139,10.76421159
E07000122,Pendle,5.534432901,5.986933705,10.43697119,26.78858306,21.07858678,8.204919602,20.91400975,11.60169219,22.78093279,16.8078833,15.19087523
E07000123,Preston,7.455660361,4.330606076,11.19043897,30.97955426,16.80470608,9.121949102,18.17734412,19.2141331,24.22219369,14.25181342,12.28323005
