LAcode,LAname,Nocarvan,Unemp,LLTI,Sochous,Ethnic,Troutine,random
E06000005,Darlington,27.96657382,8.413305295,19.63074533,15.48746518,6.314652723,29.88060286,1
E06000047,County Durham,27.22304884,7.899149945,23.6313474,20.10875636,3.424895079,32.7371833,0
E06000001,Hartlepool,35.28713459,13.3781921,23.16142913,23.53217589,3.372886513,34.44853602,0
E06000002,Middlesbrough,37.5644634,14.38991618,20.86379794,23.86937748,13.94821258,32.61628427,0
E06000048,Northumberland,22.04729525,7.344754026,20.72537876,18.65318261,2.826015416,28.3885878,0
E06000003,Redcar and Cleveland,28.41204597,11.4973391,22.72354025,19.4077678,2.403515391,33.28896821,0
E06000004,Stockton-on-Tees,25.92756351,9.623767404,19.00109598,17.21219318,6.599342414,29.38345159,0
E08000020,Gateshead,36.510981,8.405817695,22.15229704,27.975189,5.923162216,32.22536619,0
E08000021,Newcastle upon Tyne,41.70016986,10.97602623,18.76563744,29.74742431,18.08035635,24.55370565,1
E08000022,North Tyneside,31.61728463,7.982151226,20.61991723,21.55320664,4.912824139,27.81410382,1
E08000023,South Tyneside,38.45638483,11.18807725,23.27799793,31.5690741,4.932254079,33.65907819,0
E08000024,Sunderland,35.14921759,10.43442408,23.43034271,27.05372501,5.189360667,33.60074336,1
E06000008,Blackburn with Darwen,30.51627639,9.861315753,20.23269532,18.11762244,33.45673237,30.38681441,0
E06000009,Blackpool,36.71912626,10.64981135,25.57350509,10.87358429,6.351318059,31.89292285,0
E06000049,Cheshire East,16.12445983,5.434058705,17.51587968,11.37787646,6.447246486,22.72681978,0
E06000050,Cheshire West and Chester,18.59207308,6.367789317,18.5053154,14.71133044,5.338159268,25.16008307,0
E06000006,Halton,26.97328932,9.356894554,21.36449668,25.21195978,3.607271802,33.10393925,0
E06000007,Warrington,19.27296218,6.518909778,17.30571434,15.64247122,7.051446882,26.16401603,0
E07000026,Allerdale,20.79348211,5.942852316,20.77015619,19.10024796,2.423720728,33.34131703,0
E07000027,Barrow-in-Furness,29.92890085,7.923118636,24.63994673,11.06200359,2.915164937,34.64962918,1
E07000028,Carlisle,24.68247073,5.968778696,19.17990402,15.29518845,4.961682973,33.04497617,1
E07000029,Copeland,23.39206183,7.031997911,21.33195473,18.56169767,2.725096667,32.71033357,0
E07000030,Eden,13.93481752,3.458886335,18.01232783,10.0724732,2.958298455,27.25183942,0
E07000031,South Lakeland,15.34198316,3.344481605,18.83019159,10.42490119,4.407763993,24.51899619,0
E08000001,Bolton,28.31289582,8.708286039,19.839515,20.4733138,20.59063681,29.11176098,0
