LAcode,LAname,WhiteBritish,WhiteIrish,WhiteGypsyIrishTraveller,OtherWhite,WhiteBlackCaribbean,WhiteBlackAfrican,WhiteAsian,Indian,Pakistani,Bangladeshi,Chinese,BlackAfrican,BlackCaribbean,Arab,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,BornOutsideUK,BorninEU15,BorninEUAccession,BorninAmericasCaribbean,BorninAntarcticaOceania,NonEnglishMainLanguage,Arrived2007_11,NonBritishPassports
E06000005,Darlington,93.7,.3,.3,1.9,.4,.1,.3,.7,.1,.5,.3,.2,.1,.1,67.3733469743473,.290818839755977,.300291766132394,.0426281686938729,.919821151150013,.341972642188625,5.24705391989693,1.03444356030465,1.31863135159714,.312606570421735,.124095335531052,2.61455286714526,1.34136637490053,2.6
E06000047,County Durham,96.6,.2,.1,1.2,.2,.1,.2,.3,.1,0,.3,.1,0,.1,72.0352192532957,.195034700979265,.118267795698715,.0405266911125746,.376820291402496,.118657475420952,3.24661660581168,.734741116276532,.551786486686592,.284661037093613,.100732208198082,1.48313583048955,1.00946532045312,1.8
E06000001,Hartlepool,96.6,.2,0,.8,.2,.1,.2,.3,.3,.2,.2,.1,0,.1,69.9232842178467,.165167123049507,.182553136002086,.00977963228582605,.748685182770461,.105402703525014,2.78067544660321,.434650323814491,.509627504672491,.121702090668058,.0891033163819707,1.41647855530474,.585691311340027,1.2
E06000002,Middlesbrough,86.1,.4,.1,1.7,.4,.3,.7,1.1,4.9,.2,.7,1.1,.1,.7,63.2250093922492,.267317862613068,.426986099471144,.0325116319394272,7.04924428517759,.407479120307488,8.21460567002861,.689246597115857,1.00858307083201,.143773661243245,.0679131867179146,5.41339101989131,2.80828251885675,4.2
E06000057,Northumberland,97.2,.3,0,.9,.2,.1,.2,.3,.1,.1,.1,.1,0,0,68.5613300087334,.182895186502462,.106003265533434,.05347627425418,.322123356158315,.156315263204526,2.82411685040566,.651524548457732,.403128836685357,.269279937220753,.120875365473945,.987521409346709,.469262217271887,1.2
E06000003,Redcar and Cleveland,97.6,.3,.1,.6,.2,.1,.2,.1,.2,.1,.1,.1,0,0,70.360342365935,.138337143153051,.0473453324160175,.024412437027009,.442382949762164,.0318101452170118,2.23336810256183,.549649718517203,.273715203030101,.147954163800055,.0939508940130348,.746320067972535,.355829763939132,.8
E06000004,Stockton-on-Tees,93.4,.3,.1,.9,.2,.2,.4,.8,1.6,.1,.5,.5,0,.1,68.2234747664527,.202494650592349,.352278064819164,.0490579823600021,2.16220447784562,.326183393351078,4.614059808987,.619487500652367,.433693439799593,.223370387766818,.0918532435676635,2.21376366973274,.974375032618339,2
E08000037,Gateshead,94.1,.3,0,1.9,.2,.1,.3,.5,.3,.1,.5,.5,0,.1,66.9658465441977,.21127393688753,.248234389203552,1.50039457780175,1.04687983857273,.177809743574375,4.92622893503951,.723226148021617,.908028409601726,.275205530082811,.0804139570659394,2.88767114765487,1.46792931563227,2.8
E08000021,Newcastle upon Tyne,81.9,.7,.1,2.9,.3,.3,.6,1.8,2.3,1.7,2.2,1.7,.1,.9,56.4421776234309,.607116215820713,1.1221477851501,.239491464324338,6.26782355439597,.436509777747638,13.4125927538663,1.313455422822,1.3534301530818,.515745403798313,.158114334866888,9.45810800800059,5.52472187224505,8.5
E08000022,North Tyneside,95.1,.3,0,1.2,.2,.2,.3,.5,.2,.3,.4,.3,0,.1,63.836833481905,.217130392776928,.255476815354505,.045816504897884,.743522193614574,.176293942759249,3.95715160781072,.748502248494778,.444220895314266,.256472826330546,.123505361029079,1.90604026845638,.733562083854164,1.9
E08000023,South Tyneside,95.1,.2,0,.7,.2,.2,.3,.4,.3,1,.2,.2,0,.4,70.2707811540097,.150546490511521,.171474477981732,.0384804930903887,1.92672503999946,.286240860882891,3.35117838071385,.491470157364964,.285565764512884,.16337332154165,.0702100224807091,1.89617482522366,.756107934407637,1.4
E08000024,Sunderland,94.8,.2,0,.9,.2,.1,.2,.6,.2,.8,.6,.4,0,.1,70.2859465855553,.199632675876387,.220321880467213,.0275856061211008,1.32483503081603,.295456360297053,4.10335891051375,.521222768288168,.488918571646353,.16079504620589,.0584379287565425,2.52121976582238,1.38944342409966,2.2
E06000008,Blackburn with Darwen,66.5,.5,.1,2,.2,.1,.7,13.4,12.1,1,.5,.4,.1,.4,52.6134152377465,.20747309968879,.389181566082894,.0366128999450807,26.9965895761718,.109160683169592,14.7766952111683,.674626582321394,1.35671134796493,.251544182956017,.062377533239767,13.4481656426466,2.23338689664992,4.9
E06000009,Blackpool,93.6,.7,.2,2.1,.5,.2,.3,.4,.2,.2,.4,.1,.1,.1,67.1706613170028,.31675641431739,.237215359166579,.177383592017738,.746841234646113,.0429380917185795,5.42216590997079,.810896420652518,1.53943617358252,.253405131453912,.11121669658255,2.76166079156905,1.20437827754901,3
E06000049,Cheshire East,93.6,.6,.1,2.5,.4,.1,.3,.6,.2,.1,.3,.2,.1,.1,68.8790604306089,.238296584685797,.358795764696982,.15697314705493,.658692827056659,.0753795318904052,5.48298286804259,.869701480843062,1.38898270053252,.443901687799053,.181018947550435,2.59917156988623,1.3257611576567,3.1
E06000050,Cheshire West and Chester,94.7,.7,.1,2,.3,.1,.3,.4,.1,.2,.3,.2,.1,.1,70.121477634038,.235431178854882,.198114123443606,.0758476736001553,.511516710759448,.0591611854081212,4.85030703138273,.889238125288221,.985716366107619,.377114633139972,.157156379699522,2.13361677044729,1.0254605470741,2.7
E06000006,Halton,96.4,.5,0,.9,.4,.2,.3,.2,0,0,.2,.1,.1,0,75.0035786426606,.171774847708873,.154279261368155,.0349911726814372,.212332797862357,.0437389658517965,2.69193453469693,.44375168991459,.513734035277464,.193246703672483,.104973518044312,1.04470440084836,.477947608671449,1.3
E06000007,Warrington,92.9,.7,0,2.3,.3,.2,.3,.9,.6,.1,.4,.2,.1,.1,71.4070257333307,.225982554344601,.552841347390075,.0726902308285697,1.03694839488103,.178511383191249,5.69110113337421,.66904681844255,1.49138596040113,.319935913918943,.1592262199102,2.96764390326538,1.45083766837431,3.3
